Nederlands;Deutsch;geslacht;meervoud;extra
overhoren, testen;abfragen;;;
verloop;Ablauf;der;Abläufe;
verlopen, gebeuren;ablaufen;;;
afspraak, overeenkomst;Abspreche;die;Absprachen;
afspreken, overeenkomen;absprechen;;;
aandeel in een nv;Aktie;die;Aktien;
actie;Aktion;die;Aktionen;
toen (eenmalig in het verleden);als;;;
als (in de hoedanigheid van);als;;;
anders (op een andere manier);anders;;;
erkennen, goedkeuren;anerkennen;;;
aanval (medisch);Anfall;der;Anfälle;
navraag, verzoek naar informatie;Anfrage;die;Anfragen;
informatie inwinnen;anfragen;;;
beamte, werknemer;Angestellte;;;Angestellter
aanval  ;Angriff;der;Angriffe;
reden (reden tot pessimisme);Anlass;der;Anlässe;
handleiding;Anleitung;die;Anleitungen;
opbellen;anrufen;;;
toespraak;Ansprache;die;Ansprachen;
recht op, aanspraak;Anspruch;der;Anspruche;
aandelenpakket, particpatie;Anteil;der;Anteile;
verzoek, aanvraag;Antrag;der;Anträge;
oplossen (bv. in water);auflösen;;;
opzoeken (persoon/instantie/plaats) bezoeken;aufsuchen;;;
uitbreiden, uitdeinen (bv. virus);ausbreiten;;;
uitbreiding, uitdeining;Ausbreitung;die;Ausbreitungen;
resultaat;Ausgang;der ;Ausgänge;
resulteren;ausgehen;;;
tentoonstellen;ausstellen;;;
bank (financieel);Bank;die;Banken;
zitbank;Bank;die;Bänke;
aanbieden;beantragen;;;
dienaar;Bediente;der;Bedienter;Bedienter
bevestigen, vastmaken;befestigen;;;
vervoeren, transporteren;befördern;;;
bestreiden;bekämpfen;;;
druk, impact, verontreiniging;Belastung;die;Belastungen;
blaffen;bellen;;;
verslag, uitvoerige mededeling;Bericht;der;Berichte;
bevestigen, bekrachtigen;bestätigen;;;
ontkennen;bestreiten;;;
betalen (goederen);bezahlen;;;
binnenland, centrum;Binnenland;das;Binnenländer;
verzoek;Bitte;die;Bitten;
verzoeken;bitten;;;
financiële beurs;Börse;die;Börsen;
bureau, kantoor;Büro;das;Büros;
kans;Chance;die;Chancen;
rechtstreeks;direkt;;;
drukken, bedrukken;drucken;;;
drukken, induwen;drücken;;;
verkwisten;durchbringen;;;
jaloezie;Eifersucht;die;???;
uitnodigen;einladen;;;
kleinkind;Enkelkind;das;Enkelkinder;
herkennen;erkennen;;;
vergroten (bv. bedrijf, Europa);erweitern;;;
vergroting (bv. bedrijf, Europa);Erweiterung;die;Erweiterungen;
expeditie, tocht;Expedition;die;Expeditionen;
factuur;Faktur;die;Fakturen;
gereed, klaar;fertig;;;
volgen, achternazitten (letterlijk);folgen;;;
bevorderen;fördern;;;
vraag naar info;Frage;die;Fragen;
vragen naar info;fragen;;;
stelplaats voor auto's;garage;die;Garagen;
tax, tarief, bijdrage;Gebühr;die;Gebühren;
verstandelijk;geistig;;;
geestelijkm religieus;geistlich;;;
dadelijk;gleich;;;
geluk;Glück;das;???;
handel, verkoop;Handel;der;???;
verkoopspunt;Handlung;die;Handlungen;
hoofd (fig.);Haupt;das;Häupter;
knap;hübsch;;;
volledig binnenland;Inland;das;???;
zonnewering, jaloezie;Jalousie;die;???;
verworven kennis;Kenntnis;die;Kenntnisse;meestal meervoud
klaar, duidelijk;klar;;;
een klein kind;Kleinkind;das;Kleinkinder;
aanbellen;klingeln;;;
net geen;knapp;;;
hoofd, kop;Kopf;der;Köpfe;
kostelijk, heerlijk;köstlich;;;
cursus, leergang;Kurs(us);der;Kurse;
oplossen (bv. een probleem);lösen;;;
handelsbeurs;Messe;die;Messen;
buur;Nachbar;der;Nachbarn;
vraag naar bv een goed;Nachfrage;die;Nachfragen;
nieuwsbericht;Nachricht;die;Nachrichten;
opzoeken (info);nachtschlagen;;;
rekening (opgelijste prijzen + totaal);Rechnung;die;Rechnungen;???
bureautafel;Schreibtisch;der;Schreibtische;
zich afvragen;sich fragen;;;sich (acc.)
boek;Skript;das;Skripte;
anders (in het andere geval);sonst;;;
transportbedrijf ???;Spedition;die;Speditionen;
belasting;Steuer;die;Steuern;
duur;teuer;;;
krantenkop;Überschrift;die;Überschriften;
afspraakje maken;verabreden;;;
rendez-vous;Verabredung;die;Verabredungen;
doorbrengen;verbringen;;;
observeren;verfolgen;;;
uitstellen;verschieben;;;
indien, telkens als;wenn;;;
garage voor reparatie;Werkstatt;die;Werkstätte;? mv in het boek?
als/dan (bij vergelijkingen);wie;;;
betalen (direct tov persoon) sommen;zahlen;;;
